epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
62,856.691,1.24228,0.67278,1.22315,0.9474,0.96066,0.99023,0.6459,1.30285,0.66935,1.3173,0.0007922,0.0007922,0.0007922
63,882.801,1.29929,0.69909,1.29927,0.94394,0.89333,0.97899,0.61679,1.30401,0.65891,1.32643,0.0007724,0.0007724,0.0007724
64,910.042,1.2555,0.66031,1.23889,0.89039,0.97484,0.97261,0.60711,1.33003,0.6604,1.33882,0.0007526,0.0007526,0.0007526
65,921.792,1.27805,0.66543,1.23429,0.94393,1,0.98904,0.65012,1.27302,0.58996,1.30103,0.0007328,0.0007328,0.0007328
66,941.54,1.20008,0.63343,1.20629,0.94332,0.98667,0.98829,0.6042,1.31382,0.61745,1.31912,0.000713,0.000713,0.000713
67,968.972,1.23786,0.66735,1.2971,0.93292,1,0.98504,0.61355,1.377,0.65092,1.34978,0.0006932,0.0006932,0.0006932
68,993.239,1.25596,0.65487,1.24559,0.90351,1,0.9769,0.62387,1.31539,0.6444,1.33798,0.0006734,0.0006734,0.0006734
69,1015.1,1.23406,0.65116,1.25177,0.92953,0.97333,0.98063,0.60498,1.31656,0.61933,1.29069,0.0006536,0.0006536,0.0006536
70,1028.25,1.23,0.66097,1.21938,0.96094,0.98399,0.98753,0.62857,1.27773,0.60966,1.28002,0.0006338,0.0006338,0.0006338
71,1049.75,1.24957,0.64928,1.26462,0.95907,1,0.98585,0.61628,1.38347,0.65145,1.35251,0.000614,0.000614,0.000614
72,1081.03,1.23278,0.63762,1.23765,0.94472,0.98667,0.98676,0.65242,1.29778,0.61146,1.32339,0.0005942,0.0005942,0.0005942
73,1102.59,1.19485,0.6259,1.20247,0.94476,0.98667,0.98174,0.60702,1.34887,0.63401,1.34257,0.0005744,0.0005744,0.0005744
74,1113.51,1.26271,0.7032,1.31401,0.94085,0.98667,0.98661,0.64163,1.28564,0.6365,1.30466,0.0005546,0.0005546,0.0005546
75,1135.31,1.18846,0.65361,1.21621,0.93191,1,0.98994,0.62295,1.31753,0.63568,1.33758,0.0005348,0.0005348,0.0005348
76,1150.41,1.18796,0.63054,1.21296,0.97116,0.96,0.99036,0.6509,1.2555,0.57745,1.28895,0.000515,0.000515,0.000515
77,1163.24,1.24747,0.69469,1.28733,0.94927,0.99797,0.99055,0.63446,1.28649,0.5879,1.31062,0.0004952,0.0004952,0.0004952
78,1173,1.20162,0.62861,1.24242,0.95177,0.97333,0.98165,0.62789,1.32858,0.61272,1.32987,0.0004754,0.0004754,0.0004754
79,1199.32,1.2027,0.62213,1.2139,0.9495,0.98667,0.98668,0.62034,1.33453,0.60121,1.33124,0.0004556,0.0004556,0.0004556
80,1227.03,1.22661,0.63484,1.25965,0.95214,1,0.98968,0.62871,1.29773,0.58158,1.29247,0.0004358,0.0004358,0.0004358
81,1238.81,1.18209,0.62727,1.21439,0.97377,0.98988,0.98941,0.62565,1.32513,0.59056,1.31166,0.000416,0.000416,0.000416
